gene,gene_id,logFC,logCPM,F,PValue,FDR
GREM2,ENSG00000180875,-0.500308131192324,3.50385473728284,1.48658429889175,0.23395361803762,0.458924375314411
SSR4,ENSG00000180879,0.0398292473060339,5.52644916288669,0.378659775946524,0.5435710334067,0.736151530809898
CAPS2,ENSG00000180881,0.0435977670927776,4.02601674159128,0.264902978334255,0.611038507918999,0.783042101285272
ZNF792,ENSG00000180884,0.197692389744973,3.08914220208233,2.59400653895962,0.119119131823366,0.307416244249992
CUEDC1,ENSG00000180891,-0.0149802683129081,5.58338960213221,0.0239215163632733,0.87825690757576,0.938981742597549
SCRIB,ENSG00000180900,-0.00215356217576006,5.2718482567151,0.00033131010314793,0.985614140296772,0.992977422965841
KCTD2,ENSG00000180901,0.092357800769215,5.65212967471364,3.89177950825349,0.0590412830292967,0.202288986116771
D2HGDH,ENSG00000180902,-0.177687220752329,3.86389260402297,1.97327901980285,0.171715666730569,0.38301042615316
OXTR,ENSG00000180914,1.10677113928885,7.0671042145148,35.8271553950651,2.65903181127712e-06,0.000455231903605135
CMTR2,ENSG00000180917,-0.00724845397532092,7.09765126874964,0.0169708283065182,0.897335126622069,0.9496085020155
FAM83H,ENSG00000180921,-1.86525811607088,3.14040593717729,14.6214948929631,0.000767005521866147,0.0156841421389986
GPR62,ENSG00000180929,0.116554460776435,-0.153353627912266,0.080738488721786,0.778507869487876,0.888689682827005
ZNF572,ENSG00000180938,0.610191305915909,2.11059087634392,5.3521698160592,0.0287052347287202,0.132440751860463
ST20,ENSG00000180953,-0.281260499846165,1.29725573066594,4.90176392385431,0.0356314129251769,0.150463481554677
PITPNB,ENSG00000180957,0.0130524284035344,5.56289006344964,0.013291390494589,0.909085894448912,0.956441750906024
TCEAL8,ENSG00000180964,0.0544252505720128,7.64125829586391,0.755126040844214,0.392661705569397,0.615297451580166
LRRC57,ENSG00000180979,0.0501436009997101,5.53554073250443,0.329830310335788,0.570603070185873,0.756110827865869
MRPL14,ENSG00000180992,0.11637280478002,5.02838833055712,4.39219423065067,0.0457983556289955,0.173654668430477
GPR137C,ENSG00000180998,0.0121367399822757,3.66464333133999,0.00500113202028354,0.94415272064253,0.972509334361058
BBS12,ENSG00000181004,-0.135723921151476,4.97639154964696,1.44345016830712,0.240211184041117,0.465917631044197
ZFP82,ENSG00000181007,0.484310781933114,3.9088871688028,5.34818185723897,0.0288823520504001,0.132840469157758
LSMEM1,ENSG00000181016,-0.343866726263939,0.103161520274503,2.752616686896,0.1088877606546,0.292347469505251
NQO1,ENSG00000181019,0.0777921042456969,7.7538854556955,0.640121477763099,0.430782021921015,0.648146510730637
AEN,ENSG00000181026,0.415336494206634,6.2899845441662,51.1792145967035,1.2051799733376e-07,7.1833190040452e-05
FKRP,ENSG00000181027,0.142591539556243,4.7933921022244,6.8683161368495,0.014344604769499,0.0880933095574237
TRAPPC5,ENSG00000181029,-0.346998246159083,2.05061851668918,9.54923316891572,0.00466094852591985,0.0455720053715386
RPH3AL,ENSG00000181031,-0.213060638879882,1.67434925255158,0.520406644193067,0.476987747355484,0.686597837047568
SLC25A42,ENSG00000181035,-0.029959721911256,3.60629633125678,0.0397200126261838,0.843550551484953,0.923801226610912
METTL23,ENSG00000181038,0.00248328071303125,3.87147361994045,0.00123111192558126,0.972273205062043,0.986121679527538
SLC26A11,ENSG00000181045,-0.0380624580331702,3.38459030955165,0.128124062158606,0.723220892678906,0.855604927286749
HIGD1A,ENSG00000181061,0.00431396500594561,6.84639523354671,0.00408943398823586,0.949491101928521,0.974624333673663
MAPK15,ENSG00000181085,-0.502965463091491,1.84427444687965,0.611335795362108,0.44154281594408,0.657756969081559
EHMT1,ENSG00000181090,-0.0302729949628206,5.62676769978728,0.21409508366684,0.647354091306021,0.80777462909109
SDCCAG3P2,ENSG00000181101,-0.205225760359808,-0.159298426478097,0.67518121222722,0.420271623939749,0.639366083860726
F2R,ENSG00000181104,2.16887160766628,6.07356383984736,63.2319731467128,2.41077734287235e-08,2.27214026834958e-05
ZNF707,ENSG00000181135,-0.0654141167656483,2.91583365435768,0.409396709888664,0.527770117891326,0.725891232750554
NPM1,ENSG00000181163,0.0601412248289107,8.84185927253383,0.833847277252873,0.369397031585309,0.594079150833058
PJA1,ENSG00000181191,0.243358067586795,5.26627969850856,8.8957944530489,0.00606671558948339,0.0526316193970653
DHTKD1,ENSG00000181192,-0.0986900518588976,4.71730134674746,2.24143310979418,0.146175099094511,0.347319632323633
HIST3H2A,ENSG00000181218,-1.7526718103701,1.58977989269011,12.1753178004927,0.00177213863806575,0.0257794629218518
ZNF746,ENSG00000181220,-0.00413653628340422,5.55384650906008,0.00687659236322509,0.93453430804507,0.967727985288547
POLR2A,ENSG00000181222,0.02219669980125,6.20882314368839,0.0344659573648586,0.854133075696774,0.927813944460897
RP4_682C21.2,ENSG00000181227,-0.138180368898275,2.07344002917831,0.777679250482822,0.385782140866546,0.608546558808599
MTHFD2P7,ENSG00000181260,0.566332185245186,-0.210980287048551,2.8075029505322,0.108310833752575,0.291430571406151
TMEM136,ENSG00000181264,-0.0183528835356683,4.87557597038218,0.0483759222547738,0.827599552764874,0.91608065439388
FRAT2,ENSG00000181274,-0.335602790496376,3.83880201711561,8.97462286028927,0.00587489742555346,0.0515511037456008
TMEM102,ENSG00000181284,-0.108292905542828,1.56466417385054,0.773601661909352,0.38701272638129,0.609533102598395
ZNF322,ENSG00000181315,0.156663310082377,4.16764618903947,2.40758441690168,0.132612274804223,0.327811504293993
NME9,ENSG00000181322,-0.907367482525812,1.5418399787037,14.6219581709971,0.000721066244620748,0.0150117969918263
LRRC75A,ENSG00000181350,0.430549471554992,2.86088227014864,6.8464161677739,0.0144842215339378,0.0885617694322419
DDX60L,ENSG00000181381,0.173495639608497,5.32779965714096,2.49678067899214,0.125944551841526,0.318174631134569
OGFOD3,ENSG00000181396,-0.254893356745155,5.84521874867276,9.46049857812939,0.00482908112057892,0.0464521234151085
WASH1,ENSG00000181404,-0.155598131397757,1.85531568404546,0.904472246554818,0.350180578403554,0.579421761078388
UTS2R,ENSG00000181408,-2.6856636624335,1.34851171102503,33.0523417488489,4.64219793440287e-06,0.000667025815699513
ZNF678,ENSG00000181450,0.0682716380510645,4.74428174077098,0.781421639020282,0.384657770708397,0.607645136194074
TMEM45A,ENSG00000181458,0.295169308158079,6.10570883953721,2.71368882577448,0.111657752347752,0.296666370898525
RAP2B,ENSG00000181467,0.116725125051955,6.96346748419019,2.35204527659463,0.136973727315421,0.333863533659913
ZBTB2,ENSG00000181472,0.12428496894815,4.2530996608125,1.29190992646854,0.265871885894984,0.492424474589478
RNF135,ENSG00000181481,0.0413218809777267,3.86453676999229,0.144303605495923,0.707067493278934,0.845695813403038
ACBD4,ENSG00000181513,-0.258192679686549,2.59038841182655,3.48622316629483,0.0729830369123461,0.230523260653658
SGSH,ENSG00000181523,0.0345599227612918,4.23760066369549,0.091690054178768,0.764404049221417,0.880799897300382
RPL24P4,ENSG00000181524,0.0853549125483013,8.46536976968066,0.805963622530679,0.377401835480883,0.601577628604779
FANCB,ENSG00000181544,0.0440307337962149,3.40708194550016,0.0894883649386285,0.767162472502504,0.881824175975467
SETD2,ENSG00000181555,-0.116083780076383,7.12228141083771,2.63886363018314,0.116116237991209,0.303107642821173
MEX3D,ENSG00000181588,0.142689925236712,4.947622252382,2.11464215752865,0.157640175909825,0.363153535241225
MRPS23,ENSG00000181610,0.139840012643581,5.25701824734475,6.28405166499113,0.0186338819826089,0.10231151919008
GPR135,ENSG00000181619,-0.47148671378426,2.99899234226269,5.86249568941679,0.0226026617052754,0.114963538186788
ZFP41,ENSG00000181638,-0.278026958472387,2.6570888737971,3.57066828126988,0.069797327831037,0.223978835432564
PHLDA2,ENSG00000181649,0.526271113432689,0.22335466469889,2.61007532526939,0.118033141605891,0.305780320003801
HKR1,ENSG00000181666,0.0231107425933399,5.65931581710126,0.184911696603232,0.670662945962903,0.823786328872421
PLAG1,ENSG00000181690,-0.0136554842554421,6.28662163093226,0.00542923613465436,0.941832848919933,0.971472634128219
YIPF6,ENSG00000181704,-0.0432552291485117,6.61997845147384,0.216937215080874,0.645189619930495,0.806820255340568
ZBTB20,ENSG00000181722,-0.601087509170042,7.54170198810728,5.94668808083382,0.0220791155670663,0.113411811944079
C3orf58,ENSG00000181744,-0.14275630539459,7.37964275879924,1.26382412787293,0.271014366601212,0.497604061169138
C5orf30,ENSG00000181751,-0.143547082830145,4.81516601575352,0.93132732837602,0.343271218674941,0.572720918417257
AMIGO1,ENSG00000181754,-0.602606872900343,0.568286471522285,3.75992235210317,0.0632136351251387,0.211063044299228
GPR3,ENSG00000181773,0.0465276780673839,1.3654352126932,0.0352297051132691,0.852545133919784,0.927523072879435
SIAH2,ENSG00000181788,0.124072756627407,4.7172953398872,1.85744482860781,0.184391337738733,0.399059951348767
COPG1,ENSG00000181789,0.224400806492214,6.817378368628,9.79423763378304,0.00422889940056825,0.043202722608186
CELF2_AS1,ENSG00000181800,-0.845361150350733,1.94002289866392,6.39526051728486,0.0177528957011797,0.0997546614940939
SLC9A9,ENSG00000181804,-0.372114963654978,4.72437371310658,6.85996663757693,0.0143976596581879,0.0882894495765412
LSM10,ENSG00000181817,0.145090524898322,3.27747647700169,2.39052838053962,0.133934042299573,0.329521562869138
KCTD9P2,ENSG00000181819,0.0237658143008058,0.935886119347403,0.00961752268598965,0.922615652958043,0.963132699990515
RELL1,ENSG00000181826,-0.444229194997223,4.79296492171925,9.8874904662773,0.00407606781474881,0.0423474237203051
RFX7,ENSG00000181827,-0.0408468817911454,5.79113351052079,0.187480046893715,0.668526586011203,0.822963233280676
SLC35C1,ENSG00000181830,0.236155051689139,3.92618912252023,6.90465584452151,0.0141161771152611,0.0873401146927705
RNF41,ENSG00000181852,-0.0293281877318455,6.08547731007998,0.120430612648524,0.731309165521796,0.861537728025315
IBA57,ENSG00000181873,-0.0239845728899755,3.9351282849708,0.104878402898946,0.748594572727529,0.871181913492844
CLDN7,ENSG00000181885,-0.853437700565938,-0.0923896693866239,11.5234832683906,0.00217641187842466,0.0287933401919163
ZNF329,ENSG00000181894,0.269315478371822,5.68353527130864,25.37618427252,2.89456671588414e-05,0.00212704393418829
ZNF101,ENSG00000181896,0.218456976904187,4.83620045448686,9.05162984563847,0.0056938740896997,0.0506777923898325
C5orf24,ENSG00000181904,0.0420904916846671,7.49517550547477,0.63234572138869,0.433562212958869,0.650747686359548
ADO,ENSG00000181915,0.11311199122267,5.98040454890014,2.51449126749187,0.124667851690439,0.316495992600597
COA4,ENSG00000181924,-0.131873307030294,6.47694414458389,0.792137784590842,0.381564607805332,0.604858080517259
PRKAG1,ENSG00000181929,0.0402643885345881,5.89639739861253,0.450369532980934,0.507968142622923,0.711341047618405
GINS3,ENSG00000181938,0.10989495007902,3.48046621110056,1.64262300725271,0.21106837594515,0.432703614533159
CCDC149,ENSG00000181982,-0.666711069081338,2.94839238381363,15.3183645767986,0.000570008813118714,0.0134360182283792
MRPS11,ENSG00000181991,-0.0461406983759014,4.47820871332689,0.165374932920595,0.687521612245743,0.834624490320733
SNRPE,ENSG00000182004,0.168844296224864,4.95929043915479,5.46839274910416,0.0271700457458418,0.128112378021632
RTKN2,ENSG00000182010,-0.424342772770692,4.4124698018032,6.17507647200948,0.0196298632197152,0.105351981032589
PNMAL1,ENSG00000182013,0.414085401371436,5.61346366044951,1.17470759602058,0.288768684693601,0.515156239260642
CHST15,ENSG00000182022,-0.0905945643977709,6.40177368161541,0.217777286507505,0.644690073123104,0.806702227413895
IDH2,ENSG00000182054,-0.279132497552471,6.12300317296976,5.37557264526072,0.0283885487103156,0.131464501695564
TMEM259,ENSG00000182087,-0.0900457957000149,5.85876459327597,0.930171737499345,0.34353881441989,0.572849460207159
WRB,ENSG00000182093,-0.0693286781391279,5.35614753817605,0.486330592638297,0.491643062425717,0.698940972050977
TNRC18,ENSG00000182095,0.0208714542836395,5.75501489848364,0.0496959007286884,0.825302909173293,0.914910169746048
RP11_69E11.4,ENSG00000182109,-0.375781953509041,1.29892412692807,3.2147893696259,0.0843998482896709,0.250885397509854
NOP10,ENSG00000182117,0.641324796996242,5.33399402507878,44.0771919749801,4.39734102015704e-07,0.000144421242933443
FAM89A,ENSG00000182118,0.316141157060801,1.09436042224335,1.24098323173726,0.275285234746941,0.502163309564606
TDRKH,ENSG00000182134,-0.0567213977297209,2.03081253897406,0.248059179340521,0.622553877611439,0.791871605469561
ZNF708,ENSG00000182141,0.196937799139319,4.07389275063149,4.02302430336452,0.0551938914878315,0.194784747704031
IST1,ENSG00000182149,-0.0441432240763652,7.27130943055398,1.12772586029736,0.297844722286474,0.525053687781381
ERCC6L2,ENSG00000182150,0.0268298471373211,6.22716295487356,0.16064209987738,0.691779772666794,0.837209554704408
MRPL41,ENSG00000182154,0.16083363880338,5.44834823259008,6.19898546585843,0.0193683855728167,0.1046660272073
