gene_id,gene,logFC,logCPM,PValue,FDR
ENSG00000081019,RSBN1,-0.168567894,3.45835275,0.124822176,0.750121589
ENSG00000081026,MAGI3,-0.057103847,1.723205165,0.67743615,0.969363251
ENSG00000081041,CXCL2,-0.393117553,-0.069789196,0.110071659,0.735558232
ENSG00000081052,COL4A4,-0.368025408,4.686813153,0.174286699,0.79631752
ENSG00000081059,TCF7,-0.172960177,2.853906286,0.127502353,0.752524706
ENSG00000081087,OSTM1,0.016448017,3.564725471,0.88920064,0.994078697
ENSG00000081154,PCNP,-0.024040449,5.94111473,0.778803576,0.98481565
ENSG00000081177,EXD2,-0.172847789,3.913858566,0.06182064,0.66671052
ENSG00000081181,ARG2,-0.105781279,4.719025029,0.61632972,0.956123588
ENSG00000081189,MEF2C,-0.014783381,9.061227257,0.902397071,0.996337851
ENSG00000081237,PTPRC,-0.489735981,1.200404148,0.149027299,0.770807183
ENSG00000081248,CACNA1S,-0.116502933,9.125222107,0.394557623,0.909825774
ENSG00000081277,PKP1,-1.083933111,2.381270786,0.000528543,0.209427304
ENSG00000081307,UBA5,-0.047865371,5.065405599,0.534132991,0.940692046
ENSG00000081320,STK17B,0.014950115,0.997999984,0.930345443,0.999962666
ENSG00000081377,CDC14B,-0.062052599,2.51404488,0.693052503,0.971904063
ENSG00000081386,ZNF510,-0.104199776,3.273279442,0.261895968,0.853577939
ENSG00000081665,ZNF506,0.096400981,3.578442914,0.465431546,0.926110662
ENSG00000081692,JMJD4,0.120004788,3.170689763,0.313897034,0.881497166
ENSG00000081721,DUSP12,0.007830734,2.495695718,0.94257485,1
ENSG00000081760,AACS,0.007289975,2.786618971,0.973394497,1
ENSG00000081791,DELE1,0.066456308,6.025669799,0.523223655,0.938420771
ENSG00000081803,CADPS2,-0.174420144,1.179393976,0.353163384,0.899364165
ENSG00000081818,PCDHB4,-0.147673652,0.969917155,0.370687478,0.904988914
ENSG00000081853,PCDHGA2,-0.113749276,-0.400061151,0.673280663,0.968502939
ENSG00000081870,HSPB11,-0.087287479,1.263589438,0.533176303,0.940692046
ENSG00000081913,PHLPP1,-0.00598032,2.998332769,0.966691745,1
ENSG00000081923,ATP8B1,-0.395694937,2.229844386,0.046454868,0.638465291
ENSG00000081985,IL12RB2,0.820745389,3.323617921,0.044175445,0.632836768
ENSG00000082014,SMARCD3,0.041514415,7.085163604,0.735475419,0.978374516
ENSG00000082068,WDR70,-0.034180861,3.712641782,0.71295273,0.976368147
ENSG00000082074,FYB1,-0.447382187,-0.394508568,0.185081784,0.800205125
ENSG00000082126,MPP4,0.18039094,-0.707200937,0.306197156,0.876988676
ENSG00000082146,STRADB,-0.033813846,6.170325301,0.821250715,0.988237555
ENSG00000082153,BZW1,0.132586078,5.244367669,0.361935043,0.899481605
ENSG00000082175,PGR,0.224342275,0.913135948,0.334719836,0.891409915
ENSG00000082196,C1QTNF3,0.041358264,1.920637951,0.853862338,0.990844591
ENSG00000082212,ME2,0.062924442,5.17786536,0.662428676,0.966948189
ENSG00000082213,C5orf22,-0.036671539,4.243228565,0.657896055,0.965989843
ENSG00000082258,CCNT2,-0.000286469,4.709773152,0.998372293,1
ENSG00000082269,FAM135A,-0.286626697,2.761235444,0.018316512,0.53877739
ENSG00000082293,COL19A1,1.291900336,1.407233402,0.092413947,0.713877348
ENSG00000082397,EPB41L3,-0.013632784,2.815381884,0.962079992,1
ENSG00000082438,COBLL1,-0.151458412,2.603844331,0.447694029,0.922703243
ENSG00000082458,DLG3,0.003139075,1.123757776,0.990329421,1
ENSG00000082482,KCNK2,-0.026903471,-0.301876385,0.956127161,1
ENSG00000082497,SERTAD4,-0.06654373,0.344526328,0.811173509,0.988237555
ENSG00000082512,TRAF5,-0.334555752,2.599410276,0.112302322,0.737458523
ENSG00000082515,MRPL22,0.14243588,3.281603086,0.108980826,0.733961363
ENSG00000082516,GEMIN5,-0.030000558,4.663099027,0.736087147,0.978669284
ENSG00000082641,NFE2L1,0.090913127,10.58915653,0.419522399,0.914192036
ENSG00000082684,SEMA5B,-0.386332454,-0.150162381,0.201276012,0.812705982
ENSG00000082701,GSK3B,-0.098318413,5.308712981,0.379520922,0.905857646
ENSG00000082781,ITGB5,-0.091833564,4.556216116,0.368651898,0.903629633
ENSG00000082805,ERC1,-0.118740569,4.380092377,0.408507772,0.912506347
ENSG00000082898,XPO1,0.079974268,6.292515078,0.49984193,0.932184022
ENSG00000082996,RNF13,-0.013697745,4.67965394,0.883344579,0.993002099
